,ActualElapsedTime,AirTime,ArrDelay,ArrTime,CRSArrTime,CRSDepTime,CRSElapsedTime,CancellationCode,Cancelled,CarrierDelay,DayOfWeek,DayofMonth,DepDelay,DepTime,Dest,Distance,Diverted,FlightNum,LateAircraftDelay,Month,NASDelay,Origin,SecurityDelay,TailNum,TaxiIn,TaxiOut,UniqueCarrier,WeatherDelay,Year
525129,54.0,41.0,-21.0,1944.0,2005,1900,65.0,,0,0.0,5,7,-10.0,1850.0,IAD,239.0,0,1779,0.0,1,0.0,GSO,0.0,N662BR,4.0,9.0,DH,0.0,2005
525239,90.0,65.0,7.0,2243.0,2236,2114,82.0,,0,0.0,7,23,-1.0,2113.0,IAD,383.0,0,1400,0.0,1,0.0,DTW,0.0,N8960E,8.0,17.0,NW,0.0,2005
525322,101.0,80.0,-6.0,1500.0,1506,1225,101.0,,0,0.0,1,10,-6.0,1219.0,IAD,542.0,0,1804,0.0,1,0.0,BNA,0.0,N705BR,7.0,13.0,DH,0.0,2005
525333,69.0,50.0,-20.0,1950.0,2010,1845,85.0,,0,0.0,6,8,-4.0,1841.0,IAD,321.0,0,1449,0.0,1,0.0,CLT,0.0,N623BR,4.0,15.0,DH,0.0,2005
525437,52.0,39.0,-28.0,2013.0,2041,1930,71.0,,0,0.0,6,1,-9.0,1921.0,IAD,224.0,0,1065,0.0,1,0.0,RDU,0.0,N625BR,2.0,11.0,DH,0.0,2005
525443,324.0,305.0,13.0,1701.0,1648,840,308.0,,0,0.0,1,24,-3.0,837.0,IAD,2419.0,0,936,0.0,1,0.0,SFO,0.0,N533UA,4.0,15.0,UA,0.0,2005
525455,,,,,1008,725,103.0,B,1,0.0,7,30,,,IAD,589.0,0,4040,0.0,1,0.0,ORD,0.0,0,0.0,0.0,MQ,0.0,2005
525471,64.0,43.0,130.0,2055.0,1845,1735,70.0,,0,0.0,3,19,136.0,1951.0,IAD,284.0,0,1289,130.0,1,0.0,BUF,0.0,N660BR,9.0,12.0,DH,0.0,2005
525493,83.0,59.0,-4.0,1521.0,1525,1359,86.0,,0,0.0,4,13,-1.0,1358.0,IAD,383.0,0,1406,0.0,1,0.0,DTW,0.0,N751NW,7.0,17.0,NW,0.0,2005
525580,278.0,256.0,-5.0,1553.0,1558,815,283.0,,0,0.0,7,2,0.0,815.0,IAD,2327.0,0,196,0.0,1,0.0,PDX,0.0,N464UA,7.0,15.0,UA,0.0,2005
